record_id,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,temperature_c,humidity_pct,soil_ph,rainfall_mm,soil_moisture_pct,organic_matter_pct,sunlight_hours,altitude_m,soil_type,region,state,season,irrigation_method,crop_label
SF-00999,46.40,31.90,42.90,18.00,66.30,6.90,315.90,28.70,2.07,8.60,943.00,sandy_loam,hill,Uttarakhand,rabi,drip,kidneybeans
SF-01622,106.00,59.60,98.90,32.10,92.60,6.10,1543.80,62.40,3.68,9.20,609.00,black,coastal,Tamil Nadu,perennial,drip,banana
SF-00612,82.50,41.50,59.50,31.20,87.60,6.90,2041.00,77.60,3.81,8.90,365.00,clay,coastal,Odisha,kharif,flood,jute
SF-00515,48.70,35.40,48.50,27.30,54.00,7.40,647.10,34.60,1.75,10.70,392.00,loam,central,Chhattisgarh,kharif,sprinkler,cotton
SF-00414,123.30,57.40,65.90,25.30,70.50,6.70,1211.40,58.70,2.46,10.70,516.00,alluvial,south,Tamil Nadu,perennial,canal,sugarcane
SF-01075,42.00,45.10,42.20,23.50,58.00,6.50,713.50,31.60,1.17,8.40,937.00,red,north,Jammu and Kashmir,rabi,drip,kidneybeans
SF-00539,65.40,54.50,63.50,24.00,58.60,6.60,967.00,31.40,1.61,11.50,618.00,black,west,Maharashtra,kharif,sprinkler,cotton
SF-00483,70.60,32.30,57.40,23.30,45.10,7.60,802.70,42.30,1.72,10.50,634.00,red,west,Goa,kharif,sprinkler,cotton
SF-00399,124.50,49.10,76.10,25.50,70.20,7.00,2242.70,63.00,2.33,10.30,905.00,alluvial,central,Chhattisgarh,kharif,flood,sugarcane
SF-01674,109.50,53.50,113.80,28.40,85.50,5.60,1791.70,53.10,2.59,11.00,497.00,loam,coastal,Andhra Pradesh,perennial,drip,banana
SF-01340,29.20,45.70,28.50,30.00,62.40,6.40,818.70,35.40,2.08,10.90,632.00,sandy_loam,east,Jharkhand,kharif,drip,blackgram
SF-00989,37.90,54.70,48.50,21.70,52.40,6.60,645.30,28.40,1.72,8.70,1342.00,sandy_loam,central,Madhya Pradesh,kharif,drip,kidneybeans
SF-01361,46.80,47.70,38.00,29.60,61.40,7.00,732.40,34.60,1.41,8.10,187.00,black,coastal,Goa,kharif,drip,blackgram
SF-00592,83.20,32.00,59.90,30.00,51.10,7.50,757.50,43.30,2.41,10.70,615.00,loam,central,Madhya Pradesh,kharif,sprinkler,cotton
